Cittadinanza;Genere;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Guatemala;Femmine;7;11;9;9;6;0;11;14;13;13;13;15;15;15;16;15;12;16;18;20;19;20;21;23;32;36;39;36
Guatemala;Maschi;5;5;5;5;4;0;6;6;7;5;6;7;7;6;12;12;9;12;14;13;15;15;15;16;17;21;21;22
Guinea;Femmine;0;1;2;3;4;0;3;6;5;5;7;12;11;14;18;16;16;18;20;21;25;25;25;28;28;34;32;27
Guinea;Maschi;14;16;17;21;10;0;26;26;25;28;35;40;44;45;52;50;38;44;52;57;63;68;65;76;61;76;83;77
Guinea Bissau;Femmine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2
Guinea Bissau;Maschi;0;1;1;1;2;0;1;1;1;1;2;1;1;4;4;6;5;5;4;7;6;6;9;11;10;10;12;13
Guinea Equatoriale;Maschi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guyana;Femmine;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haiti;Femmine;25;25;25;26;5;0;24;25;24;24;25;26;29;29;30;22;4;6;7;7;6;7;5;5;6;7;6;6
Haiti;Maschi;4;4;4;4;1;0;4;5;5;4;5;6;6;5;5;6;4;4;1;2;3;3;2;2;3;3;3;5
Honduras;Femmine;1;3;4;3;5;0;5;5;4;2;2;4;4;5;5;6;5;10;11;12;12;14;16;29;39;50;57;74
Honduras;Maschi;0;1;1;1;3;0;0;0;0;0;0;1;1;1;1;2;2;4;4;3;4;4;4;9;13;15;17;24
India;Femmine;93;99;104;118;63;0;127;141;154;158;160;182;192;207;235;221;180;202;248;261;276;300;338;357;391;444;467;455
India;Maschi;83;90;95;99;76;0;160;176;177;180;200;246;261;289;333;319;240;300;370;391;392;398;456;522;581;674;718;654
Indonesia;Femmine;11;13;13;13;14;0;20;21;25;26;30;34;35;42;49;53;43;39;50;51;49;51;57;61;67;80;82;75
Indonesia;Maschi;8;10;12;13;15;0;17;17;19;20;21;26;28;31;34;36;32;35;39;39;37;38;43;45;44;49;45;42
Iran;Femmine;468;466;462;465;208;455;454;453;438;414;407;419;419;405;390;364;183;196;213;236;239;222;251;286;333;483;582;612
Iran;Maschi;657;656;665;670;289;639;611;597;569;554;535;557;550;538;540;491;231;247;256;261;272;264;294;330;363;482;557;575
Iraq;Femmine;23;24;24;24;6;0;25;25;26;26;27;26;27;28;28;28;7;7;13;10;17;19;20;20;19;16;16;18
Iraq;Maschi;53;52;51;50;24;0;50;49;47;45;46;46;47;49;50;45;21;21;32;37;42;44;62;63;60;51;51;39
Irlanda;Femmine;46;54;67;76;44;0;118;125;135;137;139;156;169;179;196;182;89;92;102;104;106;113;118;122;130;135;120;97
Irlanda;Maschi;34;40;44;53;29;0;89;99;103;110;120;130;133;139;158;150;62;69;81;85;91;94;95;102;113;117;98;77
Islanda;Femmine;1;3;2;2;4;0;4;3;4;4;4;5;6;9;11;10;10;10;10;12;12;13;18;21;20;20;17;12
Islanda;Maschi;1;3;3;3;4;0;4;3;3;3;3;3;4;4;7;7;5;6;9;10;11;11;11;12;12;12;9;4
